nameTeam,avgAge,valueTeam,year,numberPlayers,nameLeague
Paris Saint-Germain,24.2,805000000,2020,41,ligue-1
AS Monaco,24,370350000,2020,33,ligue-1
Stade Rennais FC,24.2,297500000,2020,37,ligue-1
OGC Nice,22.4,236100000,2020,41,ligue-1
Montpellier HSC,25.2,113850000,2020,34,ligue-1
RC Strasbourg Alsace,25.2,109650000,2020,34,ligue-1
Stade Reims,23.1,105180000,2020,34,ligue-1
FC Metz,24.6,103500000,2020,35,ligue-1
FC Nantes,25.4,94750000,2020,32,ligue-1
Dijon FCO,24.3,65629999,2020,37,ligue-1
Olympique Lyon,24.2,431350000,2020,40,ligue-1
LOSC Lille,23.6,323200000,2020,32,ligue-1
Olympique Marseille,24.2,251400000,2020,43,ligue-1
AS Saint-Etienne,23.6,154500000,2020,43,ligue-1
SCO Angers,25.8,111650000,2020,38,ligue-1
FC Girondins Bordeaux,25.4,105700000,2020,36,ligue-1
RC Lens,24.9,104300000,2020,36,ligue-1
Stade Brestois 29,25.2,103230000,2020,32,ligue-1
FC Lorient,26.4,72880000,2020,34,ligue-1
Nimes Olympique,24.9,60400000,2020,36,ligue-1
Paris Saint-Germain,25.2,874150000,2019,35,ligue-1
AS Monaco,25.3,331030000,2019,39,ligue-1
Olympique Marseille,24.3,216150000,2019,34,ligue-1
Stade Rennais FC,25,171880000,2019,33,ligue-1
FC Nantes,25,106150000,2019,35,ligue-1
RC Strasbourg Alsace,25.7,91130000,2019,31,ligue-1
Montpellier HSC,26.2,81680000,2019,30,ligue-1
FC Toulouse,23.5,71880000,2019,35,ligue-1
FC Metz,24.4,54100000,2019,32,ligue-1
Nimes Olympique,23.8,49650000,2019,35,ligue-1
Olympique Lyon,24,384550000,2019,33,ligue-1
LOSC Lille,23.7,247780000,2019,31,ligue-1
Paris Saint-Germain,24.5,519000000,2016,39,ligue-1
Olympique Lyon,23.6,211350000,2016,34,ligue-1
Olympique Marseille,25.7,119650000,2016,33,ligue-1
AS Saint-Etienne,24,85030000,2016,42,ligue-1
Stade Rennais FC,25,80900000,2016,43,ligue-1
FC Lorient,25.1,61100000,2016,41,ligue-1
FC Nantes,24.4,50900000,2016,30,ligue-1
EA Guingamp,26.2,42500000,2016,35,ligue-1
SM Caen,26.1,36650000,2016,36,ligue-1
AS Nancy-Lorraine,26.1,33100000,2016,30,ligue-1
AS Monaco,23.2,309550000,2016,47,ligue-1
OGC Nice,23.5,132800000,2016,39,ligue-1
FC Girondins Bordeaux,24.6,88900000,2016,36,ligue-1
Paris Saint-Germain,24.9,1010000000,2018,39,ligue-1
AS Monaco,23.4,385830000,2018,57,ligue-1
Olympique Marseille,26.1,258350000,2018,33,ligue-1
FC Girondins Bordeaux,23.8,179000000,2018,43,ligue-1
AS Saint-Etienne,24.3,131250000,2018,42,ligue-1
FC Toulouse,24.1,113250000,2018,40,ligue-1
RC Strasbourg Alsace,25.2,98000000,2018,33,ligue-1
Stade Reims,24.5,86950000,2018,37,ligue-1
EA Guingamp,25.3,70650000,2018,37,ligue-1
SM Caen,24.8,67550000,2018,39,ligue-1
Olympique Lyon,23.7,467950000,2018,34,ligue-1
LOSC Lille,23.7,267550000,2018,32,ligue-1
Paris Saint-Germain,24.9,436300000,2015,35,ligue-1
Olympique Lyon,25,166300000,2015,33,ligue-1
AS Saint-Etienne,25.1,97200000,2015,40,ligue-1
FC Girondins Bordeaux,23.5,90700000,2015,42,ligue-1
LOSC Lille,25.5,70800000,2015,34,ligue-1
Montpellier HSC,25.9,44400000,2015,32,ligue-1
FC Toulouse,24.1,42900000,2015,32,ligue-1
SM Caen,25.6,36800000,2015,30,ligue-1
SCO Angers,27.3,32350000,2015,34,ligue-1
SC Bastia,25.8,24250000,2015,31,ligue-1
AS Monaco,23.3,227400000,2015,39,ligue-1
Olympique Marseille,23.9,129500000,2015,38,ligue-1
Stade Rennais FC,24.6,94150000,2015,38,ligue-1
OGC Nice,23.4,70950000,2015,35,ligue-1
OGC Nice,23.1,173450000,2019,37,ligue-1
FC Girondins Bordeaux,25,125350000,2019,31,ligue-1
AS Saint-Etienne,24.8,104830000,2019,41,ligue-1
SCO Angers,25.9,89480000,2019,31,ligue-1
Stade Reims,23.7,81680000,2019,31,ligue-1
Amiens SC,25.3,61930000,2019,37,ligue-1
Dijon FCO,25.3,50230000,2019,31,ligue-1
Stade Brestois 29,26,47780000,2019,28,ligue-1
LOSC Lille,24.6,83900000,2016,46,ligue-1
FC Toulouse,23.9,77300000,2016,38,ligue-1
Montpellier HSC,25.6,60950000,2016,35,ligue-1
SCO Angers,26.3,46080000,2016,36,ligue-1
FC Metz,24.5,37550000,2016,39,ligue-1
SC Bastia,25.1,36450000,2016,37,ligue-1
Dijon FCO,26.3,31200000,2016,33,ligue-1
OGC Nice,22.7,183200000,2018,38,ligue-1
Stade Rennais FC,23.8,168450000,2018,41,ligue-1
FC Nantes,24.6,119500000,2018,40,ligue-1
Montpellier HSC,25.7,109850000,2018,32,ligue-1
Nimes Olympique,25,88150000,2018,31,ligue-1
SCO Angers,26.5,79700000,2018,38,ligue-1
Amiens SC,25.4,70500000,2018,36,ligue-1
Dijon FCO,25.7,65800000,2018,32,ligue-1
Paris Saint-Germain,25,900100000,2017,35,ligue-1
Olympique Lyon,23.1,363800000,2017,34,ligue-1
OGC Nice,23.6,204100000,2017,39,ligue-1
Stade Rennais FC,24.3,131250000,2017,35,ligue-1
AS Saint-Etienne,24.8,106880000,2017,40,ligue-1
LOSC Lille,22,96750000,2017,32,ligue-1
Dijon FCO,25.6,70300000,2017,35,ligue-1
SCO Angers,26.1,69550000,2017,33,ligue-1
EA Guingamp,26.7,51900000,2017,30,ligue-1
RC Strasbourg Alsace,26.3,45600000,2017,31,ligue-1
AS Monaco,23.5,529799999,2017,38,ligue-1
Olympique Marseille,26.8,236800000,2017,29,ligue-1
FC Girondins Bordeaux,24.1,155450000,2017,37,ligue-1
FC Toulouse,24.5,110450000,2017,28,ligue-1
Paris Saint-Germain,25.9,903450000,2021,35,ligue-1
Olympique Lyon,24.6,344050000,2021,28,ligue-1
OGC Nice,24.4,249450000,2021,26,ligue-1
Stade Rennais FC,24.1,224400000,2021,26,ligue-1
Stade Reims,23.8,117650000,2021,30,ligue-1
AS Saint-Etienne,25.2,104200000,2021,29,ligue-1
FC Nantes,26.1,100500000,2021,25,ligue-1
FC Metz,25.4,88300000,2021,31,ligue-1
SCO Angers,26.3,67400000,2021,26,ligue-1
FC Lorient,25.9,54700000,2021,27,ligue-1
AS Monaco,24.5,350850000,2021,29,ligue-1
Olympique Marseille,24.3,252600000,2021,28,ligue-1
FC Lorient,24.7,58050000,2015,35,ligue-1
Stade Reims,25.7,42950000,2015,35,ligue-1
FC Nantes,24.8,39300000,2015,32,ligue-1
EA Guingamp,26.8,33500000,2015,31,ligue-1
ESTAC Troyes,26.3,30700000,2015,37,ligue-1
GFC Ajaccio,25.8,18400000,2015,30,ligue-1
FC Nantes,24.6,105700000,2017,36,ligue-1
Montpellier HSC,25.4,71850000,2017,30,ligue-1
Amiens SC,27.3,69850000,2017,34,ligue-1
SM Caen,25.8,60100000,2017,33,ligue-1
FC Metz,24.7,51200000,2017,44,ligue-1
ESTAC Troyes,26,45050000,2017,30,ligue-1
LOSC Lille,25.9,243300000,2021,22,ligue-1
RC Lens,25.8,118900000,2021,23,ligue-1
Montpellier HSC,25.2,112750000,2021,26,ligue-1
RC Strasbourg Alsace,26.2,102000000,2021,24,ligue-1
FC Girondins Bordeaux,25.2,89300000,2021,31,ligue-1
Stade Brestois 29,25.6,79450000,2021,26,ligue-1
ESTAC Troyes,26.4,56500000,2021,31,ligue-1
Clermont Foot 63,26.3,45950000,2021,27,ligue-1
Paris Saint-Germain,25.3,363900000,2014,32,ligue-1
Olympique Lyon,24.4,144650000,2014,31,ligue-1
AS Saint-Etienne,25.4,83350000,2014,31,ligue-1
FC Girondins Bordeaux,23.8,71500000,2014,39,ligue-1
FC Lorient,24.7,59950000,2014,39,ligue-1
Montpellier HSC,25.2,51950000,2014,36,ligue-1
FC Nantes,25,46850000,2014,30,ligue-1
EA Guingamp,26.8,36250000,2014,31,ligue-1
SC Bastia,24.6,34250000,2014,41,ligue-1
FC Metz,25.4,29850000,2014,32,ligue-1
AS Monaco,24.1,187700000,2014,34,ligue-1
Olympique Marseille,23.2,139700000,2014,34,ligue-1
LOSC Lille,25.3,82650000,2014,31,ligue-1
Stade Rennais FC,24.9,66000000,2014,30,ligue-1
OGC Nice,23.4,56250000,2014,37,ligue-1
FC Toulouse,23.7,48800000,2014,36,ligue-1
Stade Reims,25.7,39250000,2014,32,ligue-1
FC Evian Thonon Gaillard,27,36150000,2014,33,ligue-1
SM Caen,27.1,32400000,2014,27,ligue-1
RC Lens,24.4,27200000,2014,29,ligue-1
Paris Saint-Germain,26.9,313600000,2012,36,ligue-1
Olympique Marseille,24.1,150650000,2012,43,ligue-1
Stade Rennais FC,23.9,97800000,2012,35,ligue-1
FC Toulouse,23.6,82000000,2012,32,ligue-1
Montpellier HSC,25.3,78700000,2012,36,ligue-1
OGC Nice,23.3,59150000,2012,39,ligue-1
FC Sochaux-Montbeliard,24.7,46850000,2012,34,ligue-1
Stade Brestois 29,25.4,36100000,2012,37,ligue-1
FC Evian Thonon Gaillard,26.5,34550000,2012,35,ligue-1
Stade Reims,25.9,29500000,2012,29,ligue-1
Olympique Lyon,23.9,155650000,2012,52,ligue-1
LOSC Lille,26.3,114600000,2012,28,ligue-1
AS Saint-Etienne,24.8,97600000,2012,34,ligue-1
FC Girondins Bordeaux,26.1,80950000,2012,30,ligue-1
FC Lorient,25.7,63750000,2012,35,ligue-1
Valenciennes FC,25.6,49750000,2012,32,ligue-1
AS Nancy-Lorraine,23.2,36850000,2012,37,ligue-1
SC Bastia,25.8,36050000,2012,37,ligue-1
AC Ajaccio,27.2,34100000,2012,32,ligue-1
ESTAC Troyes,26.2,21800000,2012,31,ligue-1
Paris Saint-Germain,26.5,211100000,2011,35,ligue-1
Olympique Marseille,25.3,146500000,2011,35,ligue-1
Stade Rennais FC,23.7,101800000,2011,32,ligue-1
AS Saint-Etienne,25.2,85600000,2011,36,ligue-1
FC Girondins Bordeaux,25.2,82050000,2011,30,ligue-1
FC Lorient,24.9,54050000,2011,36,ligue-1
OGC Nice,24.9,52450000,2011,34,ligue-1
Valenciennes FC,24.4,44500000,2011,36,ligue-1
Dijon FCO,24.9,36800000,2011,34,ligue-1
SM Caen,25.4,31800000,2011,28,ligue-1
Olympique Lyon,23.3,163850000,2011,42,ligue-1
LOSC Lille,26.4,145350000,2011,29,ligue-1
Montpellier HSC,26,86200000,2011,31,ligue-1
FC Toulouse,23,83050000,2011,33,ligue-1
FC Sochaux-Montbeliard,23.3,58800000,2011,36,ligue-1
AS Nancy-Lorraine,25.4,53900000,2011,37,ligue-1
AJ Auxerre,24,50900000,2011,42,ligue-1
Stade Brestois 29,26.1,43200000,2011,37,ligue-1
FC Evian Thonon Gaillard,27,32900000,2011,33,ligue-1
AC Ajaccio,26.2,26550000,2011,33,ligue-1
Paris Saint-Germain,25,402300000,2013,33,ligue-1
Olympique Marseille,25,141300000,2013,36,ligue-1
AS Saint-Etienne,25.3,105400000,2013,34,ligue-1
LOSC Lille,25.3,74100000,2013,32,ligue-1
FC Girondins Bordeaux,25.4,62700000,2013,38,ligue-1
OGC Nice,22.9,56100000,2013,42,ligue-1
FC Sochaux-Montbeliard,24.3,47450000,2013,44,ligue-1
Stade Reims,25,38730000,2013,35,ligue-1
SC Bastia,26.5,35600000,2013,35,ligue-1
AC Ajaccio,25.4,28300000,2013,38,ligue-1
AS Monaco,25.1,242550000,2013,45,ligue-1
Olympique Lyon,24.2,108500000,2013,36,ligue-1
Stade Rennais FC,24.2,92600000,2013,39,ligue-1
FC Toulouse,23.8,67400000,2013,39,ligue-1
FC Lorient,24.1,57150000,2013,38,ligue-1
Montpellier HSC,25.1,52350000,2013,31,ligue-1
FC Nantes,25.1,39550000,2013,34,ligue-1
Valenciennes FC,25.5,36650000,2013,34,ligue-1
FC Evian Thonon Gaillard,25.9,35000000,2013,35,ligue-1
EA Guingamp,26.6,21430000,2013,30,ligue-1
FC Barcelona,24.2,930280000,2019,42,primera-division
Atletico de Madrid,24.8,720150000,2019,33,primera-division
Real Sociedad,24.5,347550000,2019,36,primera-division
Real Betis Balompie,25,244350000,2019,38,primera-division
Villarreal CF,26.4,208680000,2019,33,primera-division
Celta de Vigo,24.9,167000000,2019,35,primera-division
CD Leganes,25.4,109700000,2019,39,primera-division
Levante UD,26.5,90500000,2019,33,primera-division
RCD Mallorca,26.4,64680000,2019,35,primera-division
Granada CF,25.9,56580000,2019,34,primera-division
Real Madrid,25.6,913750000,2019,33,primera-division
Valencia CF,25.5,427800000,2019,33,primera-division
Sevilla FC,25.7,294750000,2019,35,primera-division
Athletic Bilbao,26.3,211750000,2019,32,primera-division
Getafe CF,28,175450000,2019,33,primera-division
RCD Espanyol Barcelona,25.8,156050000,2019,40,primera-division
Deportivo Alaves,26.1,106750000,2019,37,primera-division
Real Valladolid CF,25.6,87780000,2019,37,primera-division
CA Osasuna,26.4,62780000,2019,37,primera-division
SD Eibar,28.3,53750000,2019,29,primera-division
Bayern Munich,25.8,804500000,2021,26,bundesliga
RB Leipzig,24.4,465600000,2021,26,bundesliga
VfL Wolfsburg,25.1,236500000,2021,28,bundesliga
TSG 1899 Hoffenheim,25.6,211450000,2021,30,bundesliga
VfB Stuttgart,22.8,161500000,2021,31,bundesliga
1.FSV Mainz 05,25.2,122050000,2021,25,bundesliga
Hertha BSC,25.7,96200000,2021,31,bundesliga
1.FC Union Berlin,27.3,73000000,2021,28,bundesliga
VfL Bochum,27.2,49650000,2021,30,bundesliga
Borussia Dortmund,24.7,560250000,2021,33,bundesliga
Bayer 04 Leverkusen,24.9,434450000,2021,27,bundesliga
Borussia Monchengladbach,26,220300000,2021,26,bundesliga
Eintracht Frankfurt,25.4,199050000,2021,32,bundesliga
SC Freiburg,25.3,152580000,2021,27,bundesliga
FC Augsburg,26,97800000,2021,28,bundesliga
1. FC Koln,25.2,82380000,2021,28,bundesliga
Arminia Bielefeld,24.9,63550000,2021,25,bundesliga
SpVgg Greuther Furth,24.8,32950000,2021,28,bundesliga
Real Madrid,27.5,756500000,2021,26,primera-division
Atletico de Madrid,28.5,660500000,2021,22,primera-division
Real Sociedad,26.2,387400000,2021,28,primera-division
Valencia CF,24.4,291800000,2021,26,primera-division
Athletic Bilbao,26.6,212600000,2021,25,primera-division
RCD Espanyol Barcelona,27.5,122500000,2021,26,primera-division
CA Osasuna,28.1,97600000,2021,24,primera-division
Levante UD,28.3,79700000,2021,28,primera-division
Deportivo Alaves,27,63700000,2021,26,primera-division
Cadiz CF,29,59550000,2021,26,primera-division
FC Barcelona,25.7,679000000,2021,30,primera-division
Sevilla FC,28.3,411900000,2021,26,primera-division
Villarreal CF,28.1,382500000,2021,26,primera-division
Real Betis Balompie,29,243100000,2021,27,primera-division
Getafe CF,26.5,158800000,2021,25,primera-division
Celta de Vigo,28,109700000,2021,21,primera-division
Granada CF,27.7,92800000,2021,29,primera-division
RCD Mallorca,27.7,71000000,2021,27,primera-division
Elche CF,29.4,61200000,2021,24,primera-division
Rayo Vallecano,28,55300000,2021,23,primera-division
FC Barcelona,25.1,813500000,2020,32,primera-division
Atletico de Madrid,24.9,773100000,2020,39,primera-division
Real Sociedad,24.7,406600000,2020,38,primera-division
Valencia CF,24.7,278850000,2020,35,primera-division
Athletic Bilbao,25.9,204150000,2020,32,primera-division
Celta de Vigo,24.3,155850000,2020,41,primera-division
Levante UD,26.5,113000000,2020,34,primera-division
SD Eibar,27.1,83400000,2020,34,primera-division
SD Huesca,26.5,64099999,2020,34,primera-division
Cadiz CF,27.2,47650000,2020,41,primera-division
Real Madrid,24.8,787300000,2020,37,primera-division
Sevilla FC,25.6,418250000,2020,38,primera-division
Villarreal CF,25.9,292600000,2020,36,primera-division
Real Betis Balompie,26.8,207700000,2020,33,primera-division
Getafe CF,25.4,170100000,2020,33,primera-division
Granada CF,24.9,122650000,2020,44,primera-division
CA Osasuna,27,96750000,2020,36,primera-division
Deportivo Alaves,25.6,79800000,2020,35,primera-division
Real Valladolid CF,26.9,63050000,2020,39,primera-division
Elche CF,26.7,45650000,2020,42,primera-division
Olympique Lyon,24.1,190250000,2010,29,ligue-1
LOSC Lille,25.2,127400000,2010,28,ligue-1
Stade Rennais FC,23.6,108950000,2010,33,ligue-1
FC Toulouse,23.9,80630000,2010,32,ligue-1
AS Saint-Etienne,24.8,72050000,2010,32,ligue-1
OGC Nice,25.3,63500000,2010,36,ligue-1
FC Sochaux-Montbeliard,24.1,60100000,2010,30,ligue-1
AS Nancy-Lorraine,26.1,52650000,2010,30,ligue-1
RC Lens,24.7,45600000,2010,39,ligue-1
Stade Brestois 29,25.8,34100000,2010,31,ligue-1
Olympique Marseille,26.1,167900000,2010,34,ligue-1
FC Girondins Bordeaux,24.8,123650000,2010,35,ligue-1
Paris Saint-Germain,26.4,100200000,2010,29,ligue-1
AS Monaco,24.6,75400000,2010,38,ligue-1
AJ Auxerre,24.3,66200000,2010,40,ligue-1
FC Lorient,25.2,62750000,2010,32,ligue-1
Valenciennes FC,25.1,57450000,2010,37,ligue-1
Montpellier HSC,25.2,51350000,2010,32,ligue-1
SM Caen,24.8,36100000,2010,30,ligue-1
Athletic Club Arlesien,27.1,19950000,2010,37,ligue-1
Bayern Munich,25.7,308980000,2010,31,bundesliga
FC Schalke 04,25.2,157180000,2010,36,bundesliga
Bayer 04 Leverkusen,25.1,147680000,2010,30,bundesliga
TSG 1899 Hoffenheim,23.8,126130000,2010,34,bundesliga
VfB Stuttgart,25.3,105250000,2010,33,bundesliga
Borussia Monchengladbach,25.8,66550000,2010,34,bundesliga
1.FSV Mainz 05,26.9,60600000,2010,28,bundesliga
SC Freiburg,25.3,59950000,2010,32,bundesliga
Eintracht Frankfurt,25.2,47580000,2010,31,bundesliga
Borussia Dortmund,24.8,169950000,2010,31,bundesliga
SV Werder Bremen,25,151130000,2010,38,bundesliga
VfL Wolfsburg,25.7,145100000,2010,34,bundesliga
Hamburger SV,25.9,112130000,2010,30,bundesliga
1. FC Koln,25.2,69280000,2010,38,bundesliga
Hannover 96,26,65349999,2010,28,bundesliga
1.FC Nuremberg,24.5,60200000,2010,32,bundesliga
1.FC Kaiserslautern,24.9,50500000,2010,30,bundesliga
FC St. Pauli,26.8,30500000,2010,30,bundesliga
Bayern Munich,23.9,858230000,2020,45,bundesliga
RB Leipzig,23.7,574950000,2020,32,bundesliga
Borussia Monchengladbach,25.7,300750000,2020,33,bundesliga
VfL Wolfsburg,26,256829999,2020,30,bundesliga
TSG 1899 Hoffenheim,25.1,228150000,2020,37,bundesliga
1.FSV Mainz 05,24.9,163300000,2020,36,bundesliga
FC Schalke 04,24.8,123050000,2020,45,bundesliga
SV Werder Bremen,25.2,111980000,2020,33,bundesliga
1.FC Union Berlin,25.8,82050000,2020,33,bundesliga
Borussia Dortmund,25,628400000,2020,32,bundesliga
Bayer 04 Leverkusen,25,373250000,2020,33,bundesliga
Eintracht Frankfurt,25.6,269150000,2020,36,bundesliga
Hertha BSC,24.4,228880000,2020,38,bundesliga
VfB Stuttgart,23.8,189250000,2020,32,bundesliga
SC Freiburg,25.2,139100000,2020,30,bundesliga
1. FC Koln,24.9,118200000,2020,36,bundesliga
FC Augsburg,25.8,93050000,2020,31,bundesliga
Arminia Bielefeld,24.9,56730000,2020,33,bundesliga
Bayern Munich,25.9,596050000,2015,34,bundesliga
VfL Wolfsburg,25.5,270430000,2015,35,bundesliga
FC Schalke 04,24.9,225200000,2015,32,bundesliga
TSG 1899 Hoffenheim,24.9,90200000,2015,30,bundesliga
VfB Stuttgart,24.8,81180000,2015,34,bundesliga
Eintracht Frankfurt,24.9,76600000,2015,35,bundesliga
1. FC Koln,25,68630000,2015,25,bundesliga
Hamburger SV,25.8,63200000,2015,35,bundesliga
FC Ingolstadt 04,25.2,35650000,2015,29,bundesliga
Borussia Dortmund,24.9,352950000,2015,30,bundesliga
Bayer 04 Leverkusen,24.2,241300000,2015,33,bundesliga
Borussia Monchengladbach,25.4,186150000,2015,29,bundesliga
1.FSV Mainz 05,25.3,85150000,2015,39,bundesliga
Hertha BSC,25.3,78930000,2015,34,bundesliga
FC Augsburg,25.9,75930000,2015,39,bundesliga
SV Werder Bremen,24.6,64680000,2015,39,bundesliga
Hannover 96,24.6,60830000,2015,39,bundesliga
SV Darmstadt 98,27.3,25150000,2015,30,bundesliga
Bayern Munich,26.1,562550000,2016,33,bundesliga
Bayer 04 Leverkusen,23.8,265029999,2016,39,bundesliga
VfL Wolfsburg,24.5,203080000,2016,43,bundesliga
Borussia Monchengladbach,24.4,162180000,2016,33,bundesliga
1. FC Koln,25.4,116150000,2016,30,bundesliga
Hertha BSC,25,96530000,2016,33,bundesliga
SC Freiburg,25,86730000,2016,36,bundesliga
Eintracht Frankfurt,24.1,72300000,2016,35,bundesliga
FC Ingolstadt 04,24.8,38630000,2016,32,bundesliga
Borussia Dortmund,25.2,390650000,2016,31,bundesliga
FC Schalke 04,24.7,217250000,2016,39,bundesliga
RB Leipzig,23.6,176330000,2016,33,bundesliga
TSG 1899 Hoffenheim,24.5,138630000,2016,33,bundesliga
1.FSV Mainz 05,24.3,96730000,2016,39,bundesliga
SV Werder Bremen,25.5,89450000,2016,41,bundesliga
Hamburger SV,24.6,80480000,2016,38,bundesliga
FC Augsburg,26.3,65849999,2016,37,bundesliga
SV Darmstadt 98,26.7,25980000,2016,39,bundesliga
Bayern Munich,23.7,777330000,2019,38,bundesliga
RB Leipzig,23,570480000,2019,38,bundesliga
Borussia Monchengladbach,25.8,254700000,2019,34,bundesliga
FC Schalke 04,24.2,221580000,2019,33,bundesliga
Eintracht Frankfurt,26.4,208980000,2019,35,bundesliga
SV Werder Bremen,26.2,135130000,2019,36,bundesliga
1.FSV Mainz 05,23.9,121580000,2019,35,bundesliga
1. FC Koln,25.3,98480000,2019,35,bundesliga
1.FC Union Berlin,26.2,41200000,2019,34,bundesliga
Borussia Dortmund,24.5,654050000,2019,37,bundesliga
Bayer 04 Leverkusen,25.1,398950000,2019,29,bundesliga
TSG 1899 Hoffenheim,26.3,226050000,2019,37,bundesliga
Hertha BSC,24.2,217200000,2019,42,bundesliga
