nameTeam,avgAge,valueTeam,year,numberPlayers,nameLeague
Everton FC,25.3,182850000,2014,40,premier-league
West Ham United,25.8,135900000,2014,36,premier-league
Hull City,27,117100000,2014,35,premier-league
Queens Park Rangers,26,112250000,2014,41,premier-league
Crystal Palace,27,97250000,2014,42,premier-league
Sunderland AFC,25.8,91000000,2014,34,premier-league
Burnley FC,26.5,52550000,2014,30,premier-league
Manchester City,25.1,1050000000,2019,34,premier-league
Tottenham Hotspur,24.8,806800000,2019,36,premier-league
Manchester United,23.9,670450000,2019,43,premier-league
Everton FC,26,420300000,2019,35,premier-league
Wolverhampton Wanderers,23.1,320330000,2019,44,premier-league
AFC Bournemouth,24.8,272180000,2019,39,premier-league
Aston Villa,25.7,231700000,2019,38,premier-league
Brighton & Hove Albion,24.7,200780000,2019,45,premier-league
Crystal Palace,26.8,189330000,2019,33,premier-league
Norwich City,25.5,145330000,2019,38,premier-league
Liverpool FC,23.3,1000000000,2019,56,premier-league
Chelsea FC,24.1,705850000,2019,36,premier-league
Arsenal FC,24.3,607650000,2019,38,premier-league
Leicester City,25.9,411100000,2019,32,premier-league
West Ham United,26.5,303600000,2019,38,premier-league
Newcastle United,26,252480000,2019,41,premier-league
Southampton FC,24.4,210750000,2019,36,premier-league
Watford FC,25.7,199600000,2019,43,premier-league
Burnley FC,26.3,163880000,2019,35,premier-league
Sheffield United,27.3,138600000,2019,34,premier-league
FC Barcelona,24.9,618200000,2011,35,primera-division
Atletico de Madrid,24.4,210000000,2011,37,primera-division
Athletic Bilbao,25.2,144200000,2011,30,primera-division
Sevilla FC,25,133000000,2011,34,primera-division
RCD Espanyol Barcelona,24.1,81200000,2011,37,primera-division
Getafe CF,26.4,70950000,2011,34,primera-division
Real Zaragoza,26.1,61000000,2011,33,primera-division
Sporting Gijon,25.9,53400000,2011,33,primera-division
Rayo Vallecano,25.8,47300000,2011,37,primera-division
Racing Santander,24.2,42600000,2011,38,primera-division
Real Madrid,24.8,539200000,2011,33,primera-division
Valencia CF,25.6,181000000,2011,28,primera-division
Villarreal CF,25.4,137000000,2011,35,primera-division
Malaga CF,26.9,121300000,2011,32,primera-division
Real Sociedad,25.3,74700000,2011,26,primera-division
RCD Mallorca,24.8,62200000,2011,32,primera-division
Granada CF,26.3,60600000,2011,32,primera-division
Real Betis Balompie,25.7,52700000,2011,36,primera-division
CA Osasuna,27.1,44400000,2011,32,primera-division
Levante UD,27.4,40250000,2011,34,primera-division
Manchester City,24.9,1040000000,2020,36,premier-league
Chelsea FC,25.2,889200000,2020,39,premier-league
Tottenham Hotspur,24.6,703500000,2020,41,premier-league
Everton FC,24.7,511200000,2020,44,premier-league
Wolverhampton Wanderers,23.9,450300000,2020,38,premier-league
West Ham United,26.5,334900000,2020,39,premier-league
Southampton FC,24.5,282800000,2020,39,premier-league
Fulham FC,26.4,239750000,2020,38,premier-league
Crystal Palace,27.7,193850000,2020,36,premier-league
West Bromwich Albion,26.1,141150000,2020,43,premier-league
Liverpool FC,24.4,969650000,2020,43,premier-league
Manchester United,24.9,770050000,2020,39,premier-league
Arsenal FC,24.4,619250000,2020,42,premier-league
Leicester City,25.3,510700000,2020,40,premier-league
Aston Villa,23.3,430750000,2020,53,premier-league
Brighton & Hove Albion,24.3,290400000,2020,46,premier-league
Newcastle United,26.9,255350000,2020,33,premier-league
Leeds United,24.5,238100000,2020,39,premier-league
Sheffield United,24.9,149850000,2020,40,premier-league
Burnley FC,26.6,132300000,2020,32,premier-league
Chelsea FC,24.7,553500000,2015,40,premier-league
Arsenal FC,24.7,457850000,2015,41,premier-league
Liverpool FC,23.4,375250000,2015,44,premier-league
Everton FC,25.7,249850000,2015,39,premier-league
West Ham United,24.2,201330000,2015,50,premier-league
Leicester City,26.9,161100000,2015,35,premier-league
Swansea City,25.8,145800000,2015,36,premier-league
Crystal Palace,26.6,135700000,2015,38,premier-league
Norwich City,26.6,116900000,2015,41,premier-league
Sunderland AFC,26.5,111250000,2015,42,premier-league
Manchester City,25.4,499350000,2015,38,premier-league
Manchester United,23.5,439850000,2015,44,premier-league
Tottenham Hotspur,23.7,371850000,2015,31,premier-league
Southampton FC,25,225500000,2015,35,premier-league
Newcastle United,24.5,198000000,2015,42,premier-league
Stoke City,27.3,147000000,2015,31,premier-league
Watford FC,27.4,137000000,2015,39,premier-league
Aston Villa,24.5,117950000,2015,44,premier-league
West Bromwich Albion,26.4,113100000,2015,35,premier-league
AFC Bournemouth,25.1,99900000,2015,49,premier-league
Chelsea FC,24.7,584200000,2013,49,premier-league
Manchester United,25.5,402550000,2013,37,premier-league
Liverpool FC,24.1,315750000,2013,36,premier-league
Everton FC,26,210000000,2013,34,premier-league
Southampton FC,24.2,131500000,2013,35,premier-league
Sunderland AFC,25.6,122000000,2013,39,premier-league
West Ham United,25.9,109500000,2013,45,premier-league
Stoke City,26.5,104700000,2013,33,premier-league
Norwich City,26.6,89300000,2013,32,premier-league
Crystal Palace,26.6,68700000,2013,45,premier-league
Manchester City,26.5,458300000,2013,28,premier-league
Arsenal FC,24.5,385750000,2013,41,premier-league
Tottenham Hotspur,23.8,288950000,2013,41,premier-league
Newcastle United,24.8,172300000,2013,37,premier-league
Swansea City,25.7,128930000,2013,36,premier-league
Fulham FC,25.9,112650000,2013,48,premier-league
Aston Villa,24.7,109500000,2013,36,premier-league
West Bromwich Albion,27.2,90800000,2013,33,premier-league
Cardiff City,25.3,87900000,2013,42,premier-league
Hull City,27.2,68150000,2013,34,premier-league
Manchester City,24.8,502100000,2012,41,premier-league
Chelsea FC,25.9,454250000,2012,34,premier-league
Tottenham Hotspur,25.5,296800000,2012,41,premier-league
Newcastle United,24.6,201750000,2012,39,premier-league
Sunderland AFC,25.3,133900000,2012,37,premier-league
Fulham FC,27.4,110850000,2012,37,premier-league
Stoke City,28.3,104050000,2012,30,premier-league
Swansea City,26.2,102250000,2012,33,premier-league
Wigan Athletic,25.8,91550000,2012,37,premier-league
Norwich City,25.9,73250000,2012,36,premier-league
Manchester United,24.7,457500000,2012,41,premier-league
Arsenal FC,24,296800000,2012,42,premier-league
Liverpool FC,23.5,276100000,2012,41,premier-league
Everton FC,25.7,139750000,2012,29,premier-league
Queens Park Rangers,28.7,120050000,2012,38,premier-league
Aston Villa,24.7,110500000,2012,33,premier-league
West Ham United,25.6,103000000,2012,39,premier-league
West Bromwich Albion,26,93000000,2012,32,premier-league
Southampton FC,24.8,83050000,2012,40,premier-league
Reading FC,26.3,46250000,2012,35,premier-league
Chelsea FC,25.5,424100000,2010,33,premier-league
Manchester United,25.1,388000000,2010,43,premier-league
Arsenal FC,24.4,324000000,2010,34,premier-league
Aston Villa,26.1,202800000,2010,39,premier-league
Sunderland AFC,24.7,149330000,2010,39,premier-league
Newcastle United,24.7,119480000,2010,38,premier-league
Bolton Wanderers,26.4,100150000,2010,34,premier-league
Stoke City,27.9,94450000,2010,33,premier-league
West Bromwich Albion,25.2,86880000,2010,37,premier-league
Wigan Athletic,25,80500000,2010,35,premier-league
Manchester City,24.4,404180000,2010,45,premier-league
Liverpool FC,24.5,339200000,2010,42,premier-league
Tottenham Hotspur,25.7,307380000,2010,38,premier-league
Everton FC,24.9,184480000,2010,32,premier-league
West Ham United,25.9,138750000,2010,40,premier-league
Fulham FC,28.5,109550000,2010,34,premier-league
Birmingham City,26.8,95380000,2010,34,premier-league
Blackburn Rovers,26.1,91530000,2010,37,premier-league
Wolverhampton Wanderers,24.7,83550000,2010,42,premier-league
Blackpool FC,25.2,50030000,2010,45,premier-league
Juventus FC,27.2,555600000,2021,25,serie-a
SSC Napoli,27.4,493850000,2021,25,serie-a
Atalanta BC,27.6,384900000,2021,25,serie-a
SS Lazio,27.8,266250000,2021,25,serie-a
US Sassuolo,26.4,236600000,2021,30,serie-a
Bologna FC 1909,25.9,146000000,2021,29,serie-a
Hellas Verona,25.7,125830000,2021,26,serie-a
Udinese Calcio,26.8,104250000,2021,26,serie-a
FC Empoli,25.5,91100000,2021,28,serie-a
Spezia Calcio,23.6,71300000,2021,31,serie-a
Inter Milan,30.1,528900000,2021,25,serie-a
AC Milan,26.8,480100000,2021,27,serie-a
AS Roma,25.3,369350000,2021,28,serie-a
ACF Fiorentina,27.1,237000000,2021,25,serie-a
Torino FC,25.4,221080000,2021,29,serie-a
Cagliari Calcio,26.3,128550000,2021,27,serie-a
Genoa CFC,25.7,112850000,2021,32,serie-a
UC Sampdoria,28.2,95900000,2021,26,serie-a
Venezia FC,26.6,82530000,2021,30,serie-a
US Salernitana 1919,27.3,54850000,2021,35,serie-a
Juventus FC,26.2,497180000,2016,38,serie-a
AS Roma,23.7,354680000,2016,47,serie-a
AC Milan,24.9,254330000,2016,42,serie-a
ACF Fiorentina,24.1,217080000,2016,42,serie-a
Atalanta BC,25.5,161700000,2016,44,serie-a
UC Sampdoria,24.7,117580000,2016,42,serie-a
Udinese Calcio,24.5,101950000,2016,44,serie-a
Cagliari Calcio,24.7,61080000,2016,46,serie-a
Delfino Pescara 1936,24.7,48100000,2016,50,serie-a
US Palermo,24.4,41100000,2016,39,serie-a
SSC Napoli,25.7,387380000,2016,37,serie-a
Inter Milan,25.4,328300000,2016,41,serie-a
SS Lazio,23.7,226450000,2016,46,serie-a
Torino FC,24.3,162350000,2016,51,serie-a
US Sassuolo,24.5,145250000,2016,48,serie-a
Genoa CFC,25.8,108180000,2016,44,serie-a
Bologna FC 1909,24.7,95000000,2016,48,serie-a
Empoli FC ,24.5,55450000,2016,42,serie-a
Chievo Verona,26.3,45880000,2016,44,serie-a
FC Crotone,25,36700000,2016,37,serie-a
Juventus FC,25.5,440000000,2015,38,serie-a
SSC Napoli,25.9,321930000,2015,34,serie-a
AC Milan,25.5,213830000,2015,42,serie-a
SS Lazio,25.7,175300000,2015,38,serie-a
Genoa CFC,24.2,117550000,2015,47,serie-a
Udinese Calcio,26.3,93000000,2015,43,serie-a
Atalanta BC,26.8,78450000,2015,44,serie-a
Empoli FC ,24.1,74600000,2015,38,serie-a
Carpi FC 1909,25.9,52050000,2015,41,serie-a
Hellas Verona,25.9,47730000,2015,42,serie-a
AS Roma,24.7,332900000,2015,48,serie-a
Inter Milan,25.2,294280000,2015,42,serie-a
ACF Fiorentina,26.1,190530000,2015,39,serie-a
UC Sampdoria,26,126530000,2015,43,serie-a
US Sassuolo,24.7,97000000,2015,39,serie-a
Torino FC,25.7,89830000,2015,39,serie-a
Bologna FC 1909,25.7,75230000,2015,42,serie-a
US Palermo,24.5,68680000,2015,40,serie-a
Chievo Verona,27.5,49780000,2015,40,serie-a
Frosinone Calcio,26.2,38300000,2015,35,serie-a
Inter Milan,25.2,663900000,2020,41,serie-a
AC Milan,23.9,547780000,2020,42,serie-a
Atalanta BC,25,430000000,2020,39,serie-a
SS Lazio,25.6,326330000,2020,44,serie-a
US Sassuolo,24.9,241740000,2020,39,serie-a
Torino FC,25.4,175280000,2020,40,serie-a
Hellas Verona,24.2,157210000,2020,46,serie-a
Parma Calcio 1913,25.1,128699999,2020,53,serie-a
Genoa CFC,26.5,111930000,2020,44,serie-a
FC Crotone,26,52750000,2020,41,serie-a
Juventus FC,24.7,633300000,2020,45,serie-a
SSC Napoli,26,530200000,2020,32,serie-a
AS Roma,24.6,395650000,2020,46,serie-a
ACF Fiorentina,25.7,286800000,2020,41,serie-a
Cagliari Calcio,25.4,187830000,2020,42,serie-a
Udinese Calcio,25.8,173000000,2020,42,serie-a
Bologna FC 1909,24.1,153600000,2020,45,serie-a
UC Sampdoria,26.4,127180000,2020,34,serie-a
Spezia Calcio,25.7,71680000,2020,39,serie-a
Benevento Calcio,27.4,50130000,2020,36,serie-a
Juventus FC,25,871050000,2018,59,serie-a
Inter Milan,24,617930000,2018,60,serie-a
AS Roma,23.7,459050000,2018,57,serie-a
ACF Fiorentina,22.9,315330000,2018,56,serie-a
US Sassuolo,23.8,242050000,2018,59,serie-a
UC Sampdoria,23.5,216750000,2018,59,serie-a
Genoa CFC,23.8,191730000,2018,69,serie-a
Bologna FC 1909,25,119680000,2018,48,serie-a
SPAL,25.3,97400000,2018,51,serie-a
Chievo Verona,24.7,54700000,2018,68,serie-a
SSC Napoli,24.3,646800000,2018,54,serie-a
AC Milan,24.4,578480000,2018,45,serie-a
Atalanta BC,22.7,367680000,2018,88,serie-a
SS Lazio,24.4,291150000,2018,57,serie-a
Torino FC,23.7,239230000,2018,62,serie-a
Udinese Calcio,24.7,201200000,2018,56,serie-a
Cagliari Calcio,25.9,155380000,2018,49,serie-a
Empoli FC ,24.1,105600000,2018,59,serie-a
Parma Calcio 1913,25.6,95750000,2018,70,serie-a
Frosinone Calcio,25.8,54530000,2018,44,serie-a
Juventus FC,26.3,337900000,2012,40,serie-a
AC Milan,25.5,238530000,2012,42,serie-a
ACF Fiorentina,25.2,213650000,2012,42,serie-a
SS Lazio,24.9,143280000,2012,55,serie-a
Genoa CFC,26.5,98500000,2012,46,serie-a
Parma FC,25.6,85780000,2012,42,serie-a
Bologna FC 1909,24.5,78550000,2012,49,serie-a
Cagliari Calcio,24,76380000,2012,34,serie-a
Torino FC,25.8,61600000,2012,38,serie-a
Delfino Pescara 1936,24.5,47800000,2012,52,serie-a
FC Internazionale,24.3,242800000,2012,55,serie-a
SSC Napoli,26.2,237250000,2012,41,serie-a
AS Roma,24.6,173400000,2012,37,serie-a
Udinese Calcio,23.3,121000000,2012,48,serie-a
UC Sampdoria,25.3,85930000,2012,37,serie-a
US Palermo,25.2,80950000,2012,52,serie-a
Calcio Catania,25.4,76480000,2012,38,serie-a
Atalanta BC,27.7,74100000,2012,43,serie-a
Chievo Verona,26.8,55100000,2012,46,serie-a
AC Siena,27.3,47480000,2012,48,serie-a
Juventus FC,27,329000000,2014,35,serie-a
SSC Napoli,26.7,262180000,2014,34,serie-a
AC Milan,25.2,236130000,2014,47,serie-a
SS Lazio,26.3,167550000,2014,36,serie-a
Genoa CFC,25.1,117330000,2014,48,serie-a
US Palermo,24.9,92600000,2014,40,serie-a
Atalanta BC,26.9,83480000,2014,42,serie-a
Cagliari Calcio,24.5,74700000,2014,36,serie-a
Chievo Verona,27.6,62050000,2014,40,serie-a
Hellas Verona,26.4,41800000,2014,38,serie-a
AS Roma,25.9,276780000,2014,43,serie-a
Inter Milan,24.5,260700000,2014,44,serie-a
ACF Fiorentina,25.9,216130000,2014,49,serie-a
UC Sampdoria,25.6,132229999,2014,41,serie-a
Udinese Calcio,23.9,107180000,2014,50,serie-a
US Sassuolo,26.3,91030000,2014,41,serie-a
Torino FC,26,82580000,2014,45,serie-a
Parma FC,25.1,65950000,2014,55,serie-a
Empoli FC ,23.8,54030000,2014,40,serie-a
AC Cesena,25.9,34150000,2014,37,serie-a
Juventus FC,26.6,653150000,2017,33,serie-a
Inter Milan,25.9,487280000,2017,34,serie-a
SS Lazio,24.8,408780000,2017,44,serie-a
ACF Fiorentina,23.8,237330000,2017,41,serie-a
UC Sampdoria,24.6,190450000,2017,39,serie-a
Genoa CFC,26,135130000,2017,44,serie-a
Udinese Calcio,24,108030000,2017,46,serie-a
Cagliari Calcio,25.4,98580000,2017,41,serie-a
Benevento Calcio,25.1,57830000,2017,48,serie-a
Chievo Verona,27.4,55230000,2017,36,serie-a
SSC Napoli,25.2,504250000,2017,40,serie-a
AS Roma,23.7,469100000,2017,47,serie-a
AC Milan,24.5,407050000,2017,42,serie-a
Atalanta BC,23.6,207950000,2017,37,serie-a
Torino FC,23.8,175530000,2017,51,serie-a
US Sassuolo,25,126780000,2017,39,serie-a
Bologna FC 1909,25.3,103550000,2017,41,serie-a
SPAL 2013,25.4,63550000,2017,42,serie-a
Hellas Verona,25.5,56500000,2017,41,serie-a
FC Crotone,24.1,47880000,2017,40,serie-a
Manchester City,25.4,498600000,2011,36,premier-league
Chelsea FC,26.7,375500000,2011,32,premier-league
Tottenham Hotspur,25.2,323500000,2011,50,premier-league
Everton FC,26.3,169950000,2011,36,premier-league
Sunderland AFC,25.5,126500000,2011,36,premier-league
Fulham FC,27.1,100000000,2011,36,premier-league
Stoke City,28.5,81650000,2011,32,premier-league
Blackburn Rovers,25.4,80000000,2011,37,premier-league
Swansea City,25.5,75600000,2011,34,premier-league
West Bromwich Albion,26,69550000,2011,36,premier-league
Manchester United,24.6,404100000,2011,41,premier-league
Arsenal FC,24.2,362430000,2011,45,premier-league
Liverpool FC,25.6,236900000,2011,31,premier-league
Newcastle United,24.8,161700000,2011,37,premier-league
Aston Villa,25.6,123500000,2011,37,premier-league
Bolton Wanderers,25.9,90050000,2011,38,premier-league
Queens Park Rangers,27.6,81380000,2011,48,premier-league
Wolverhampton Wanderers,25,78050000,2011,37,premier-league
Wigan Athletic,26.2,74250000,2011,30,premier-league
Norwich City,25.5,58750000,2011,29,premier-league
Juventus FC,26.8,661880000,2019,38,serie-a
SSC Napoli,26.7,548280000,2019,33,serie-a
AS Roma,25.6,392730000,2019,36,serie-a
ACF Fiorentina,24.7,302230000,2019,42,serie-a
US Sassuolo,24.3,167980000,2019,44,serie-a
Torino FC,24.7,163550000,2019,37,serie-a
UC Sampdoria,25.1,135280000,2019,38,serie-a
Parma Calcio 1913,26.1,128750000,2019,40,serie-a
Hellas Verona,25,112530000,2019,40,serie-a
SPAL,25.6,73630000,2019,42,serie-a
Inter Milan,26.7,606050000,2019,34,serie-a
AC Milan,25.2,404330000,2019,37,serie-a
SS Lazio,26.1,303880000,2019,34,serie-a
Atalanta BC,24.9,291430000,2019,37,serie-a
Cagliari Calcio,25.8,167830000,2019,41,serie-a
Genoa CFC,26.2,142380000,2019,43,serie-a
Bologna FC 1909,24.5,129650000,2019,40,serie-a
Udinese Calcio,24.9,121080000,2019,39,serie-a
Brescia Calcio,25.9,83230000,2019,33,serie-a
US Lecce,25,52330000,2019,47,serie-a
Juventus FC,25.6,391450000,2013,48,serie-a
SSC Napoli,26.8,276600000,2013,36,serie-a
ACF Fiorentina,25.3,249130000,2013,56,serie-a
SS Lazio,25,162950000,2013,54,serie-a
Genoa CFC,24.4,102100000,2013,66,serie-a
US Sassuolo,25,87850000,2013,56,serie-a
UC Sampdoria,24.5,83480000,2013,58,serie-a
Calcio Catania,24.3,78980000,2013,54,serie-a
AS Livorno,24.9,71180000,2013,48,serie-a
Chievo Verona,25,69080000,2013,72,serie-a
FC Internazionale,24.3,292650000,2013,63,serie-a
AC Milan,25.3,263950000,2013,47,serie-a
AS Roma,23.9,246400000,2013,59,serie-a
Udinese Calcio,23.7,123950000,2013,63,serie-a
Parma FC,25.2,89780000,2013,48,serie-a
Cagliari Calcio,24.9,86200000,2013,36,serie-a
Torino FC,25.4,80250000,2013,43,serie-a
Atalanta BC,25,73930000,2013,62,serie-a
Bologna FC 1909,24.7,69830000,2013,64,serie-a
Hellas Verona,25.5,67130000,2013,54,serie-a
FC Internazionale,25.4,303050000,2011,48,serie-a
Juventus FC,27.8,262279999,2011,34,serie-a
AS Roma,25.5,172780000,2011,39,serie-a
ACF Fiorentina,24.6,130830000,2011,40,serie-a
SS Lazio,25.1,113680000,2011,53,serie-a
Parma FC,25.2,82350000,2011,43,serie-a
Atalanta BC,27.4,67580000,2011,36,serie-a
Calcio Catania,26.5,59250000,2011,39,serie-a
AC Siena,26.9,39330000,2011,37,serie-a
US Lecce,25.8,37530000,2011,41,serie-a
AC Milan,26.2,273530000,2011,45,serie-a
SSC Napoli,28.2,204750000,2011,29,serie-a
Udinese Calcio,23.4,140130000,2011,49,serie-a
US Palermo,24.5,119050000,2011,46,serie-a
Genoa CFC,25.7,104300000,2011,39,serie-a
Cagliari Calcio,24.8,71650000,2011,33,serie-a
Bologna FC 1909,24.8,63900000,2011,41,serie-a
Chievo Verona,26.2,44800000,2011,40,serie-a
AC Cesena,25.2,39030000,2011,45,serie-a
Novara Calcio 1908,26.8,28430000,2011,38,serie-a
FC Internazionale,25.6,346950000,2010,44,serie-a
Juventus FC,25.5,258930000,2010,51,serie-a
AS Roma,26.2,172980000,2010,43,serie-a
Genoa CFC,24.8,168180000,2010,45,serie-a
UC Sampdoria,24,125050000,2010,46,serie-a
SS Lazio,26.6,111730000,2010,44,serie-a
Cagliari Calcio,27.2,85030000,2010,37,serie-a
Bologna FC 1909,24.4,63050000,2010,38,serie-a
AS Bari,25.2,51500000,2010,46,serie-a
Brescia Calcio,25.6,38050000,2010,43,serie-a
AC Milan,27.2,288080000,2010,45,serie-a
ACF Fiorentina,24.4,175480000,2010,42,serie-a
SSC Napoli,27.8,170430000,2010,31,serie-a
Udinese Calcio,24.1,137050000,2010,40,serie-a
US Palermo,23.7,123030000,2010,45,serie-a
Parma FC,25.2,86050000,2010,43,serie-a
AC Cesena,25.9,64230000,2010,45,serie-a
Calcio Catania,26.3,60680000,2010,35,serie-a
Chievo Verona,26.7,48950000,2010,43,serie-a
US Lecce,25.1,32700000,2010,37,serie-a
